Key,Role,Story,Points,Rationale
TEAM5-2,Admin,"As an Admin, I want to create a new store profile with name, address, and contact details, so that the store is registered in the system and visible across the platform.",8,First persistence story - absorbs the data layer (SwiftData + Supabase + sync) + base CRUD scaffolding on top of the store form. Top of scale (8); >5 for embedded infra.
TEAM5-6,Admin,"As an Admin, I want to assign a locale, currency, and timezone to each store, so that all transactions, reports, and communications reflect the store’s local context.",2,"Config fields (locale/currency/timezone) on an existing store. >1 because it affects downstream formatting/reports; <3 because it is selection + storage, no new logic."
TEAM5-7,Admin,"As an Admin, I want to configure payment terminals (Razorpay and card) for a new store, so that the store can accept payments from day one.",5,"Payment-terminal config that also stands up the payment configuration model used later by Razorpay/card. >3 for embedded setup; <8 (config, not integration)."
TEAM5-8,Admin,"As an Admin, I want to assign a manager when creating a store, so that the store has operational ownership from day one.",2,A single relational link (store->manager) via a picker. >1 because a store must have an owner (constraint); <3 because there is no workflow.
TEAM5-9,Admin,"As an Admin, I want to view each manager’s currently assigned store, so that I know who is responsible for which location at any time.",2,"Read-only lookup of each manager's current store. >1 (needs a query/join + search); <3 (display only, no logic)."
TEAM5-10,Admin,"As an Admin, I want to view a cross-store revenue dashboard with monthly breakdowns, so that I can monitor business performance at a glance.",8,Revenue dashboard - absorbs charting/visualization component setup + cross-store aggregation. Top of scale (8); >5.
TEAM5-11,Manager,"As a Manager, I want to create a VIP or launch event with name, date, time, venue, and description, so that the event is formally scheduled.",3,Event form + scheduling + optional link to an Admin launch. >2 (relations + scheduling); <5 (standard CRUD).
TEAM5-12,Manager,"As a Manager, I want to send digital invitations to selected customers, so that they can be informed about upcoming events.",2,"Dispatch invitations over a channel, tied to an event. >1 (linked send); <3 (reuses messaging)."
TEAM5-13,Manager,"As a Manager, I want to review shift histories so that I can monitor employee attendance.",2,Read-only shift-history list per associate. >1 (query + display); <3 (no logic).
TEAM5-14,Manager,"As a Manager, I want to view performance metrics, units sold, upsell rate, and client satisfaction score of the sales associate so that I can evaluate employee performance.",3,"Aggregates units sold / upsell rate / CSAT per associate with filtering. >2 (computation over data); <5 (no ML, derived from existing records)."
TEAM5-15,Manager,"⁠As a Manager, I want to raise stock requests by specifying the Stock Keeping Unit (SKU), required quantity, and urgency level so that the Admin can replenish inventory through inter-store transfers or warehouse stock before products run out.",3,Form (SKU/qty/urgency) + submit into the Admin queue. >2 (workflow entry); <5 (standard form).
TEAM5-16,Manager,"As a Manager, I want low-stock items to be flagged automatically for reorder, so that I can take action before the product runs out.",3,"Threshold rule + automatic flagging + dashboard surfacing. >2 (rule logic); <5 (single rule, no forecasting)."
TEAM5-17,Manager,"As a Manager, I want to monitor the approval status of my stock requests so that I know when requested inventory will be allocated or delivered to my store.",2,Status view of stock requests that updates live. >1 (live status); <3 (read-only).
TEAM5-18,Manager,"As a Manager, I want the system to block me from saving a price below the Admin's floor, so that I cannot breach corporate pricing policy accidentally.",2,A validation guard that reuses the floor rule to block a save. >1 (enforcement point); <3 (the rule itself is defined elsewhere - TEAM5-67/19).
TEAM5-19,Manager,"As a Manager, I want to adjust the selling price of products within the pricing band defined by the Admin so that I can respond to local market conditions while complying with corporate pricing policies.",3,Editable price clamped to the Admin band with min/max checks. >2 (validation + UI); <5 (bounded logic).
TEAM5-20,Sales Associate,"As a Sales Associate, I want to create a new client card with basic consented details (name, phone number, style preferences), so that I can start building a personalised shopping experience.",3,Client form + consent gate that controls whether PII is persisted. >2 (conditional persistence); <5 (single form).
TEAM5-21,Sales Associate,"As a Sales Associate, I want to search for an existing client in the CRM by name or phone number, so that I can quickly pull up their profile when they visit.",2,Search by name/phone + open profile. >1 (query + navigation); <3 (no logic).
TEAM5-22,Sales Associate,"As a Sales Associate, I want to book an in-store or video call appointment for a client, so that I can provide a scheduled, personalised consultation.",3,In-store/video booking + reminders. >2 (two types + scheduling); <5 (no real-time media).
TEAM5-23,Sales Associate,"As a Sales Associate, I want to conduct a video consultation and share curated cart links with the client remotely, so that clients can shop without visiting the store.",8,Real-time video consultation + remote shareable curated-cart link. >5 because real-time media + remote session is high-risk integration - top tier (8).
TEAM5-24,Sales Associate,"As a Sales Associate, I want to manage BOPIS (Buy Online Pick Up In Store) pickup alerts, so that I can prepare the order and notify the client when it's ready for collection.",3,BOPIS alert + order prep + notify-when-ready workflow. >2 (workflow + notification); <5 (bounded).
