Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As a Sales Associate, I want to use the app in multiple languages, so that I can serve clients in their preferred language.",TEAM5-89,10124,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,22/Jun/26 11:03 PM,22/Jun/26 11:23 PM,,,,0,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,,,,,,,,,,,,0|i000fn:,,,5.0,,,,10041,TEAM5-38,Sales Associate,To Do,22/Jun/26 11:03 PM
"As a Manager, I want to view an inventory dashboard with stock levels, low-stock alerts, and a one-tap restock request to the Admin, so that I can manage store inventory in one place.",TEAM5-88,10123,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,22/Jun/26 11:02 PM,22/Jun/26 11:23 PM,22/Jun/26 11:02 PM,,,0,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,,,,,,,,,,,,0|i00022:z,NIRALI Sprint 1,,3.0,,,,10040,TEAM5-37,Manager,To Do,22/Jun/26 11:02 PM
"As a Sales Associate, I want to verify a client's digital receipt at BOPIS pickup, so that only the correct person collects the reserved item.",TEAM5-87,10122,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,22/Jun/26 11:01 PM,22/Jun/26 11:23 PM,22/Jun/26 11:02 PM,,,0,,,Aryavansh Saini,712020:a9c59d4f-02cd-4a6b-bc04-055ceaa3e1a7,,,,,,,,,,,,0|i000f7:,,,3.0,,,,10041,TEAM5-38,Sales Associate,To Do,22/Jun/26 11:01 PM
"As an Admin, I want store managers to receive transfer status notifications so that they can prepare for incoming inventory.",TEAM5-86,10089,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:32 PM,22/Jun/26 10:21 AM,,,,0,"*Acceptance Criteria*

* Managers receive notifications when transfers are approved.
* Managers receive notifications when inventory is dispatched.
* Managers receive notifications when inventory is delivered.
* Notification includes transfer ID and shipment details.
* Notification history is retained in the system.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i0002e:zr,,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:32 PM
"As an Admin, I want to dispatch approved inventory transfers to stores so that requested products reach their destination.",TEAM5-85,10088,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:31 PM,22/Jun/26 11:13 PM,,,,0,"*Acceptance Criteria*

* Admin can dispatch approved transfers.
* Transfer documentation is generated automatically.
* Dispatch date and tracking details are recorded.
* Inventory is deducted from the source location.
* Destination store is notified of dispatch.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i0002e:zi,,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:31 PM
"As an Admin, I want to create purchase orders when warehouse stock is insufficient so that required inventory can be replenished.",TEAM5-84,10087,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:31 PM,22/Jun/26 10:22 AM,,,,0,"*Acceptance Criteria*

* Admin can generate a purchase order when inventory is unavailable.
* Purchase order contains SKU, quantity, supplier, and expected delivery date.
* Purchase order receives a unique identifier.
* Order status can be tracked.
* Purchase order history remains available for audit purposes.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i0002e:z,,,3.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:31 PM
"As an Admin, I want to approve transfer requests when sufficient stock is available so that inventory can be dispatched to stores.",TEAM5-83,10086,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:31 PM,22/Jun/26 11:22 PM,,,,0,"*Acceptance Criteria*

* Admin can approve requests with sufficient inventory.
* Approval records date, time, and approver.
* Approved requests move to the next workflow stage.
* Managers receive approval notifications.
* Inventory allocation is reserved upon approval.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00024:i,NIRALI Sprint 1,,3.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:31 PM
"As an Admin, I want to verify warehouse stock availability for requested items so that I can decide whether inventory can be transferred immediately.",TEAM5-82,10085,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:31 PM,22/Jun/26 11:22 PM,,,,0,"*Acceptance Criteria*

* Admin can view warehouse stock availability for requested SKUs.
* Available quantity is displayed in real time.
* System identifies insufficient stock automatically.
* Stock verification occurs before transfer approval.
* Inventory information reflects current warehouse records.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00024:,NIRALI Sprint 1,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:31 PM
"As an After-Sales Associate, I want to view all active service requests so that I can monitor ongoing repair workloads.",TEAM5-81,10084,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:25 PM,20/Jun/26 2:45 PM,,,,0,"*Acceptance Criteria*

* Active requests are displayed.
* List updates automatically.
* Request details can be opened.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000ez:,,,2.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:25 PM
"As an After-Sales Associate, I want to filter repair requests by status so that I can quickly locate specific service cases.",TEAM5-80,10083,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:24 PM,20/Jun/26 2:45 PM,,,,0,"*Acceptance Criteria*

* User can filter by status.
* Filter results update immediately.
* Multiple statuses can be selected.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000er:,,,2.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:24 PM
