Key,Role,User Story,Acceptance Criteria,Priority,Story Points,Sprint,Status,Epic
TEAM5-2,Admin,"As an Admin, I want to create a new store profile with name, address, and contact details, so that the store is registered in the system and visible across the platform.","Required fields validated; created store appears in active list. INCLUDES Sprint-1 setup: Supabase project provisioning (schema + Row-Level-Security policies + client SDK), SwiftData local store, and the offline sync engine that all later data features reuse. (8 pts = store CRUD + data-layer setup.)",Highest,8,1,Done,Store Onboarding
TEAM5-6,Admin,"As an Admin, I want to assign a locale, currency, and timezone to each store, so that all transactions, reports, and communications reflect the store’s local context.","Locale, currency, timezone captured at creation; applied to transactions/reports",High,2,1,Done,Store Onboarding
TEAM5-7,Admin,"As an Admin, I want to configure payment terminals (Razorpay and card) for a new store, so that the store can accept payments from day one.","Store config captures Razorpay + card-terminal details; validated before go-live. INCLUDES Sprint-1 setup: Razorpay SDK + card-terminal SDK integration scaffolding, secure credential/key storage in Keychain, and the shared payment-service layer that checkout (TEAM5-33/34) reuses. (8 pts = config + payment-integration foundation.)",Highest,8,1,Done,Store Onboarding
TEAM5-8,Admin,"As an Admin, I want to assign a manager when creating a store, so that the store has operational ownership from day one.",Store creation accepts manager assignment; linked to store,High,2,1,Done,Store Onboarding
TEAM5-9,Admin,"As an Admin, I want to view each manager’s currently assigned store, so that I know who is responsible for which location at any time.",Lists managers with current store; searchable,Medium,2,1,Done,Analytics & Oversight
TEAM5-10,Admin,"As an Admin, I want to view a cross-store revenue dashboard with monthly breakdowns, so that I can monitor business performance at a glance.",Shows daily/weekly/monthly actuals vs targets; aggregates across stores,Medium,5,1,Done,Analytics & Oversight
TEAM5-11,Manager,"As a Manager, I want to create a VIP or launch event with name, date, time, venue, and description, so that the event is formally scheduled.",Required fields validated; optionally linked to Admin product launch,Medium,3,2,To Do,Events & Staff
TEAM5-12,Manager,"As a Manager, I want to send digital invitations to selected customers, so that they can be informed about upcoming events.",Invites sent via digital channel; linked to event,Medium,2,2,To Do,Events & Staff
TEAM5-13,Manager,"As a Manager, I want to review shift histories so that I can monitor employee attendance.",Shift history per associate; shows dates/hours,Low,2,3,To Do,Events & Staff
TEAM5-14,Manager,"As a Manager, I want to view performance metrics, units sold, upsell rate, and client satisfaction score of the sales associate so that I can evaluate employee performance.",Per-associate metrics displayed; date-range filterable,Medium,3,3,To Do,Events & Staff
TEAM5-15,Manager,"As a Manager, I want to raise stock requests by specifying the Stock Keeping Unit (SKU), required quantity, and urgency level so that the Admin can replenish inventory through inter-store transfers or warehouse stock before products run out.","Request captures SKU, qty, urgency; submitted to Admin queue",High,3,2,To Do,Pricing & Stock Requests
TEAM5-16,Manager,"As a Manager, I want low-stock items to be flagged automatically for reorder, so that I can take action before the product runs out.",SKU below threshold auto-flagged; visible on dashboard,High,3,2,To Do,Inventory Base
TEAM5-17,Manager,"As a Manager, I want to monitor the approval status of my stock requests so that I know when requested inventory will be allocated or delivered to my store.","Each stock request shows live status (pending/approved/routed/delivered); status updates in real time as the Admin acts; Manager receives a notification on each status change; full transition history retained. (5 pts = real-time multi-state sync + notification wiring, not just a static view.)",Medium,5,2,To Do,Pricing & Stock Requests
TEAM5-18,Manager,"As a Manager, I want the system to block me from saving a price below the Admin's floor, so that I cannot breach corporate pricing policy accidentally.",Below-floor save rejected with minimum shown; no save persists,High,2,2,To Do,Pricing & Stock Requests
TEAM5-19,Manager,"As a Manager, I want to adjust the selling price of products within the pricing band defined by the Admin so that I can respond to local market conditions while complying with corporate pricing policies.",Editable only within band; cannot exceed max or go below floor,High,3,2,To Do,Pricing & Stock Requests
TEAM5-20,Sales Associate,"As a Sales Associate, I want to create a new client card with basic consented details (name, phone number, style preferences), so that I can start building a personalised shopping experience.","Captures name, phone, style prefs; persisted only if consent granted",High,3,1,Done,Clienteling & Appointments
TEAM5-21,Sales Associate,"As a Sales Associate, I want to search for an existing client in the CRM by name or phone number, so that I can quickly pull up their profile when they visit.",Search by name/phone returns matches; opens profile,High,2,2,To Do,Clienteling & Appointments
TEAM5-22,Sales Associate,"As a Sales Associate, I want to book an in-store or video call appointment for a client, so that I can provide a scheduled, personalised consultation.",Booking supports both types; reminders scheduled,Medium,3,2,To Do,Clienteling & Appointments
TEAM5-23,Sales Associate,"As a Sales Associate, I want to conduct a video consultation and share curated cart links with the client remotely, so that clients can shop without visiting the store.",Video consult supported; shareable curated cart link generated,Lowest,8,2,To Do,Clienteling & Appointments
TEAM5-24,Sales Associate,"As a Sales Associate, I want to manage BOPIS (Buy Online Pick Up In Store) pickup alerts, so that I can prepare the order and notify the client when it's ready for collection.",Alert on BOPIS order; client notified when ready,Medium,3,2,To Do,Clienteling & Appointments
TEAM5-25,Sales Associate,"As a Sales Associate, I want to create ship-from-warehouse orders for remote selling, so that products not available in-store can be shipped directly to the client.",Order created against warehouse stock; shipping details captured,Medium,3,2,To Do,Clienteling & Appointments
TEAM5-26,Sales Associate,"As a Sales Associate, I want the system to generate product recommendations based on a client's purchase patterns and preferences, so that I have data-driven suggestions to present.",Recommendations derived from client history; displayed for review,Medium,8,2,To Do,AI Recommendations
TEAM5-27,Sales Associate,"As a Sales Associate, I want the system to suggest trending and similar products for new clients with no purchase history, so that I can still offer relevant options.",New client triggers trending/similar model; relevant items displayed,Low,3,2,To Do,AI Recommendations
TEAM5-28,Sales Associate,"As a Sales Associate, I want the system to surface complementary products at the cart stage, so that I can suggest cross-sell options to the client.",Cross-sell suggestions appear at cart; associate selects which to add,Low,3,2,To Do,AI Recommendations
TEAM5-29,Sales Associate,"As a Sales Associate, I want the system to suggest higher-value alternatives at the cart stage, so that I can offer upsell options that match the client's taste.",Upsell suggestions appear at cart; associate selects which to add,Low,3,2,To Do,AI Recommendations
TEAM5-30,Sales Associate,"As a Sales Associate, I want to check inventory availability (in-store, warehouse, nearby stores) before presenting a product, so that I don't recommend items that are out of stock.",Availability shown across three sources; real-time,High,3,2,To Do,"Sell, QR & Payments"
TEAM5-31,Sales Associate,"As a Sales Associate, I want to scan a product's QR code at the point of sale, so that both the client's purchase history and the store's inventory records are updated simultaneously in one action.",Single scan updates both atomically; failure rolls back both,Highest,8,2,To Do,"Sell, QR & Payments"
TEAM5-32,Sales Associate,"As a Sales Associate, I want the system to suggest similar alternative products when the desired item is unavailable, so that I can still serve the client without losing the sale.",Out-of-stock triggers AI alternatives; associate can present or dismiss,Low,3,2,To Do,AI Recommendations
TEAM5-33,Sales Associate,"As a Sales Associate, I want to take payment via Razorpay and issue a digital receipt, so that checkout is fast and compliant.",Razorpay (UPI/netbanking/wallet) supported; digital receipt sent to client,Highest,5,2,To Do,"Sell, QR & Payments"
TEAM5-34,Sales Associate,"As a Sales Associate, I want to process payments via card terminal (tap/swipe), so that clients can pay with credit or debit cards.",Card terminal completes payment; result recorded on order,High,3,2,To Do,"Sell, QR & Payments"
TEAM5-35,Sales Associate,"As a Sales Associate, I want to route the completed order as a store sale, BOPIS reservation, or ship-from-warehouse, so that the correct fulfilment process is triggered based on the order type.",Order-type selection triggers correct flow; each path produces correct action,High,3,2,To Do,"Sell, QR & Payments"
TEAM5-40,After-Sales,"As an After-Sales Specialist, I want to scan a product's QR code to look up the item, so that I can quickly identify the product and pull its records.",QR scan resolves SKU/serial; pulls item records,High,3,3,To Do,AST Intake & Warranty
TEAM5-41,After-Sales,"As an After-Sales Specialist, I want to manually enter product details if the QR scan fails, so that I can still create a ticket for items with damaged labels.",Manual entry path available; AST created normally,Medium,2,3,To Do,AST Intake & Warranty
TEAM5-42,After-Sales,"As an After-Sales Specialist, I want to pull the client's purchase history linked to the product, so that I have full context on the original transaction.",Purchase record linked via serial; displayed at intake,Medium,2,3,To Do,AST Intake & Warranty
TEAM5-43,After-Sales,"As an After-Sales Specialist, I want to capture condition photos and a diagnostic report in-app at intake, so that the item's state is documented before any work begins.",Photos + diagnostics captured in-app; stored with AST,High,3,3,To Do,AST Intake & Warranty
TEAM5-44,After-Sales,"As an After-Sales Specialist, I want to create an after-sales ticket (AST) tagged with the correct service type (exchange, return, repair, warranty), so that the ticket follows the right workflow.",Service type required; drives downstream workflow,High,3,3,To Do,AST Intake & Warranty
TEAM5-45,After-Sales,"As an After-Sales Specialist, I want to validate whether the product's warranty is still active, so that I can flag it as a warranty repair (free) or a paid repair.",Serial lookup returns warranty status; determines free/paid path,High,3,3,To Do,AST Intake & Warranty
TEAM5-46,After-Sales,"As an After-Sales Specialist, I want the system to flag out-of-warranty or voided coverage clearly, so that the client is informed upfront about potential costs.",Coverage status shown prominently; paid-repair flag set,Medium,2,3,To Do,AST Intake & Warranty
TEAM5-47,After-Sales,"As an After-Sales Specialist, I want to track a repair through defined stages, so that the progress is transparent and auditable.",Stages Received -> In Repair -> QA -> Completed; transitions timestamped,High,3,3,To Do,Repair & QA
TEAM5-48,After-Sales,"As an After-Sales Specialist, I want a mandatory QA checklist to be completed before marking a repair as done, so that no item is returned to the client without quality verification.",Repair cannot be Completed unless checklist fully done,High,3,3,To Do,Repair & QA
TEAM5-49,After-Sales,"As an After-Sales Specialist, I want to send items back to repair if they fail the QA check, so that issues are resolved before the client receives the product.",Failed QA returns item to repair stage; reason logged,Medium,2,3,To Do,Repair & QA
TEAM5-50,After-Sales,"As an After-Sales Specialist, I want to schedule a store pickup or courier for the completed item, so that the client can conveniently collect or receive their product.",Pickup or courier selectable; scheduling captured (consolidate with #9),Medium,3,3,To Do,Return & Collection
TEAM5-51,After-Sales,"As an After-Sales Specialist, I want to generate return documentation for the completed service, so that there is a formal record of the handover.",Return doc generated with item + service details; attached to AST,Low,2,3,To Do,Return & Collection
TEAM5-52,After-Sales,"As an After-Sales Specialist, I want the client to digitally sign off on collection, so that we have proof of delivery and the ticket can be formally closed.",Digital signature captured at handover; stored against AST,Medium,3,3,To Do,Return & Collection
TEAM5-53,After-Sales,"As an After-Sales Specialist, I want to scan a final packaging QR before releasing the item, so that inventory records are updated and the AST is closed accurately.",Packaging QR scan required before release; closes AST + syncs inventory,Medium,3,3,To Do,Return & Collection
TEAM5-54,After-Sales,"As an After-Sales Specialist, I want to generate an itemised cost estimate (parts + labour + timeline), so that the client knows exactly what the repair will cost and how long it will take.","Estimate itemizes parts, labour, timeline; total computed",High,3,3,To Do,Estimate & Approval
TEAM5-55,After-Sales,"As an After-Sales Specialist, I want to send the cost estimate to the client digitally for approval or decline, so that no work begins without the client's consent.",Estimate sent via secure digital link; client decision recorded,High,3,3,To Do,Estimate & Approval
TEAM5-56,After-Sales,"As an After-Sales Specialist, I want the repair to proceed only after client approval, so that we avoid disputes over unauthorised work.",Repair blocked beyond intake until approval; approval recorded,High,3,3,To Do,Estimate & Approval
TEAM5-57,After-Sales,"As an After-Sales Specialist, I want declined repairs to skip the repair workflow and go directly to return/pickup scheduling, so that the client can retrieve their item without delay.",Declined estimate routes straight to collection; no repair stage entered,Medium,2,3,To Do,Estimate & Approval
TEAM5-58,Admin,"As an Admin, I want the manager profile view to be read-only, so that performance records cannot be altered.",No edit controls on manager profile; display-only,Low,1,1,Done,Profiles
TEAM5-60,Admin,"As an Admin, I want to log in with my credentials, so that I can access only the features and data relevant to my role.","Passkey login; Admin sees only RBAC-permitted modules; invalid auth denied; session persists until logout. INCLUDES Sprint-1 setup: GitHub repo + CI pipeline, app scaffold (SwiftUI + MVVM + DI + navigation), Keychain/session store, and design-system baseline reused by every screen. (5 pts = login + project bootstrap.)",Highest,5,1,Done,Auth & RBAC
TEAM5-61,Manager,"As a Manager, I want to log in with my credentials, so that I can access only the features and data relevant to my role.",Passkey auth; Manager modules only scoped to store,High,3,1,Done,Auth & RBAC
TEAM5-62,Sales Associate,"As a Sales Associate I want to log in with my credentials, so that I can access only the features and data relevant to my role.",Passkey auth; Sales modules only scoped to store,High,3,1,Done,Auth & RBAC
TEAM5-63,After-Sales,"As an After-Sales Specialist I want to log in with my credentials, so that I can access only the features and data relevant to my role.",Passkey auth; After-Sales modules only (RBAC),High,3,1,Done,Auth & RBAC
TEAM5-65,Admin,"As an Admin, I want to filter the revenue dashboard by country, so that I can analyse performance across specific geographies.",Filter recomputes figures for selected country/region; empty shows all,Low,2,1,Done,Analytics & Oversight
TEAM5-66,Admin,"As an Admin, I want to create a new SKU with product details and define its launch date, so that the product is catalogued and ready for distribution.","SKU unique; launch date not in past; captures name, assets, description",Highest,3,1,Done,Product & Pricing
TEAM5-67,Admin,"As an Admin, I want to set a minimum floor price per SKU per currency, so that managers cannot discount below a level that protects brand value and margins.",Floor stored per SKU per currency; enforced on all local prices,High,3,1,Done,Product & Pricing
TEAM5-68,Admin,"As an Admin, I want to receive and review transfer requests raised by managers, so that I can evaluate stock needs across the network.","All pending requests listed with SKU, qty, urgency, store; sortable by urgency",High,2,1,Done,Inter-store Transfers
TEAM5-70,Manager,"As a Manager, I want to track RSVP responses (Accepted, Declined, Pending), so that I can estimate event attendance.",Real-time RSVP status per invitee; counts per status,Low,2,2,To Do,Events & Staff
TEAM5-71,Manager,"As a Manager, I want to view event analytics and RSVP reports, so that I can evaluate event performance.","Shows invites sent, RSVP breakdown, attendance; exportable",Low,3,2,To Do,Events & Staff
